Timestamp,Trade High,Trade Close,Trade Low,Trade Open
30/08/2013,1410.82,1410.82,1410.82,1410.82
29/08/2013,1411.54,1411.54,1411.54,1411.54
28/08/2013,1419.44,1419.44,1419.44,1419.44
27/08/2013,1427.08,1427.08,1427.08,1427.08
26/08/2013,1439.23,1439.23,1439.23,1439.23
23/08/2013,1437.46,1437.46,1437.46,1437.46
22/08/2013,1428.12,1428.12,1428.12,1428.12
21/08/2013,1444.01,1444.01,1444.01,1444.01
20/08/2013,1458.45,1458.45,1458.45,1458.45
19/08/2013,1462.93,1462.93,1462.93,1462.93
16/08/2013,1474.65,1474.65,1474.65,1474.65
15/08/2013,1472.9,1472.9,1472.9,1472.9
14/08/2013,1481.66,1481.66,1481.66,1481.66
13/08/2013,1482.14,1482.14,1482.14,1482.14
12/08/2013,1485.73,1485.73,1485.73,1485.73
9/08/2013,1495.01,1495.01,1495.01,1495.01
8/08/2013,1492.72,1492.72,1492.72,1492.72
7/08/2013,1477.32,1477.32,1477.32,1477.32
6/08/2013,1489.81,1489.81,1489.81,1489.81
5/08/2013,1478.64,1478.64,1478.64,1478.64
2/08/2013,1478.64,1478.64,1478.64,1478.64
1/08/2013,1480.63,1480.63,1480.63,1480.63
31/07/2013,1465.34,1465.34,1465.34,1465.34
30/07/2013,1480.31,1480.31,1480.31,1480.31
29/07/2013,1497.64,1497.64,1497.64,1497.64
26/07/2013,1505.17,1505.17,1505.17,1505.17
25/07/2013,1499.65,1499.65,1499.65,1499.65
24/07/2013,1498.86,1498.86,1498.86,1498.86
23/07/2013,1507.26,1507.26,1507.26,1507.26
22/07/2013,1508.69,1508.69,1508.69,1508.69
19/07/2013,1497.55,1497.55,1497.55,1497.55
18/07/2013,1493.76,1493.76,1493.76,1493.76
17/07/2013,1487.84,1487.84,1487.84,1487.84
16/07/2013,1501.35,1501.35,1501.35,1501.35
15/07/2013,1499.78,1499.78,1499.78,1499.78
12/07/2013,1495.11,1495.11,1495.11,1495.11
11/07/2013,1499.19,1499.19,1499.19,1499.19
10/07/2013,1468.06,1468.06,1468.06,1468.06
9/07/2013,1468.61,1468.61,1468.61,1468.61
8/07/2013,1456.2,1456.2,1456.2,1456.2
5/07/2013,1459.2,1459.2,1459.2,1459.2
4/07/2013,1464.76,1464.76,1464.76,1464.76
3/07/2013,1451.75,1451.75,1451.75,1451.75
2/07/2013,1467.97,1467.97,1467.97,1467.97
1/07/2013,1451,1451,1451,1451
28/06/2013,1459.2,1459.2,1459.2,1459.2
27/06/2013,1442.71,1442.71,1442.71,1442.71
26/06/2013,1430.59,1430.59,1430.59,1430.59
25/06/2013,1403.4,1403.4,1403.4,1403.4
24/06/2013,1400.44,1400.44,1400.44,1400.44
21/06/2013,1415.96,1415.96,1415.96,1415.96
20/06/2013,1433.68,1433.68,1433.68,1433.68
19/06/2013,1507.53,1507.53,1507.53,1507.53
18/06/2013,1498.38,1498.38,1498.38,1498.38
17/06/2013,1496.11,1496.11,1496.11,1496.11
14/06/2013,1499.57,1499.57,1499.57,1499.57
13/06/2013,1467.46,1467.46,1467.46,1467.46
12/06/2013,1469.45,1469.45,1469.45,1469.45
11/06/2013,1470.81,1470.81,1470.81,1470.81
10/06/2013,1479.39,1479.39,1479.39,1479.39
7/06/2013,1495.68,1495.68,1495.68,1495.68
6/06/2013,1485.7,1485.7,1485.7,1485.7
5/06/2013,1502.98,1502.98,1502.98,1502.98
4/06/2013,1527.06,1527.06,1527.06,1527.06
3/06/2013,1520.51,1520.51,1520.51,1520.51
31/05/2013,1519.73,1519.73,1519.73,1519.73
30/05/2013,1536.41,1536.41,1536.41,1536.41
29/05/2013,1555.7,1555.7,1555.7,1555.7
28/05/2013,1572.13,1572.13,1572.13,1572.13
27/05/2013,1579.44,1579.44,1579.44,1579.44
24/05/2013,1571.27,1571.27,1571.27,1571.27
23/05/2013,1581.66,1581.66,1581.66,1581.66
22/05/2013,1622,1622,1622,1622
21/05/2013,1652.87,1652.87,1652.87,1652.87
20/05/2013,1663.33,1663.33,1663.33,1663.33
17/05/2013,1643.72,1643.72,1643.72,1643.72
16/05/2013,1637.67,1637.67,1637.67,1637.67
15/05/2013,1631.25,1631.25,1631.25,1631.25
14/05/2013,1629.91,1629.91,1629.91,1629.91
13/05/2013,1638.52,1638.52,1638.52,1638.52
10/05/2013,1644.09,1644.09,1644.09,1644.09
9/05/2013,1672.59,1672.59,1672.59,1672.59
8/05/2013,1686.4,1686.4,1686.4,1686.4
7/05/2013,1668.38,1668.38,1668.38,1668.38
6/05/2013,1663.48,1663.48,1663.48,1663.48
3/05/2013,1668.67,1668.67,1668.67,1668.67
2/05/2013,1659.36,1659.36,1659.36,1659.36
1/05/2013,1665.74,1665.74,1665.74,1665.74
30/04/2013,1669.98,1669.98,1669.98,1669.98
29/04/2013,1656.42,1656.42,1656.42,1656.42
26/04/2013,1642.04,1642.04,1642.04,1642.04
25/04/2013,1647.63,1647.63,1647.63,1647.63
24/04/2013,1642.88,1642.88,1642.88,1642.88
23/04/2013,1630.72,1630.72,1630.72,1630.72
22/04/2013,1620.61,1620.61,1620.61,1620.61
19/04/2013,1624.99,1624.99,1624.99,1624.99
18/04/2013,1611.75,1611.75,1611.75,1611.75
